nodeTag,x,y,z
305,-21.528278,-80.344627,187.773154
306,-21.201215,-79.124012,150.0
307,-21.528278,-80.344627,112.226846
308,-14.726209,-83.516484,92.599334
309,-7.59757,-86.840623,72.029495
310,-8.243846,-94.227597,26.318755
311,76.604444,64.278761,0.0
312,64.278761,76.604444,0.0
313,54.253179,77.481569,26.318755
314,45.191714,78.274345,50.106547
315,36.840623,79.00497,72.029495
316,29.00497,79.690501,92.599334
317,21.528278,80.344627,112.226846
318,14.278761,80.978877,131.257986
319,7.13938,81.603492,150.0
320,0.0,82.228107,168.742014
321,-7.249517,82.862358,187.773154
322,-14.726209,83.516484,207.400666
323,-22.561862,84.202014,227.970505
324,-30.912953,84.93264,249.893453
325,-39.974418,85.725416,273.681245
326,-50.0,86.60254,300.0
327,-50.0,86.60254,300.0
328,98.480775,-17.364818,300.0
329,-17.364818,-98.480775,300.0
330,-34.202014,-93.969262,300.0
331,-30.912953,-84.93264,249.893453
332,-29.00497,-79.690501,207.400666
333,-28.123669,-77.269146,168.742014
334,-28.123669,-77.269146,131.257986
335,-29.00497,-79.690501,92.599334
336,-22.561862,-84.202014,72.029495
337,-15.694918,-89.0103,50.106547
338,-17.364818,-98.480775,0.0
339,-17.364818,-98.480775,0.0
340,64.278761,76.604444,0.0
341,50.0,86.60254,0.0
342,39.974418,85.725416,26.318755
343,30.912953,84.93264,50.106547
344,22.561862,84.202014,72.029495
345,14.726209,83.516484,92.599334
346,7.249517,82.862358,112.226846
347,0.0,82.228107,131.257986
348,-7.13938,81.603492,150.0
349,-14.278761,80.978877,168.742014
350,-21.528278,80.344627,187.773154
351,-29.00497,79.690501,207.400666
352,-36.840623,79.00497,227.970505
353,-45.191714,78.274345,249.893453
354,-54.253179,77.481569,273.681245
355,-64.278761,76.604444,300.0
356,-64.278761,76.604444,300.0
357,-39.974418,-85.725416,273.681245
358,-36.840623,-79.00497,227.970505
359,-35.152913,-75.385665,187.773154
360,-34.618861,-74.240388,150.0
361,-35.152913,-75.385665,112.226846
362,-36.840623,-79.00497,72.029495
363,-30.912953,-84.93264,50.106547
364,-24.481054,-91.364539,26.318755
365,50.0,86.60254,0.0
366,15.694918,89.0103,50.106547
367,24.481054,91.364539,26.318755
368,-7.249517,82.862358,112.226846
369,0.0,84.80486,92.599334
370,-14.278761,80.978877,131.257986
371,-14.726209,83.516484,92.599334
372,-7.59757,86.840623,72.029495
373,7.59757,86.840623,72.029495
374,-21.201215,79.124012,150.0
375,-21.528278,80.344627,112.226846
376,-22.561862,84.202014,72.029495
377,-15.694918,89.0103,50.106547
378,0.0,90.383428,50.106547
379,8.243846,94.227597,26.318755
380,17.364818,98.480775,0.0
381,17.364818,98.480775,0.0
382,-28.123669,77.269146,168.742014
383,-28.123669,77.269146,131.257986
384,-29.00497,79.690501,92.599334
385,-30.912953,84.93264,50.106547
386,-24.481054,91.364539,26.318755
387,-8.243846,94.227597,26.318755
388,0.0,100.0,0.0
389,-35.152913,75.385665,187.773154
390,-34.618861,74.240388,150.0
391,-35.152913,75.385665,112.226846
392,-36.840623,79.00497,72.029495
393,-39.974418,85.725416,26.318755
394,-34.202014,93.969262,0.0
395,-34.202014,93.969262,0.0
396,-42.40243,73.443163,207.400666
397,-41.114054,71.21163,168.742014
398,-41.114054,71.21163,131.257986
399,-42.40243,73.443163,92.599334
400,-45.191714,78.274345,50.106547
401,-50.0,86.60254,0.0
402,-54.253179,77.481569,26.318755
403,-58.097348,69.237723,50.106547
404,-61.640153,61.640153,72.029495
405,-64.964292,54.511513,92.599334
406,-68.136148,47.709445,112.226846
407,-71.21163,41.114054,131.257986
408,-74.240388,34.618861,150.0
409,-77.269146,28.123669,168.742014
410,-80.344627,21.528278,187.773154
411,-83.516484,14.726209,207.400666
412,-86.840623,7.59757,227.970505
413,-90.383428,0.0,249.893453
414,-94.227597,-8.243846,273.681245
415,-98.480775,-17.364818,300.0
416,-98.480775,-17.364818,300.0
417,-50.0,71.4074,227.970505
418,-47.709445,68.136148,187.773154
419,-46.984631,67.101007,150.0
420,-47.709445,68.136148,112.226846
421,-50.0,71.4074,72.029495
422,-58.097348,69.237723,249.893453
423,-54.511513,64.964292,207.400666
424,-52.855208,62.990385,168.742014
425,-52.855208,62.990385,131.257986
426,-54.511513,64.964292,92.599334
